2023-02-03 09:02:13.130:   ITEM[dut_ping_1] - FUNCTION[DutPingProxy]
2023-02-03 09:02:13.132:   Turn: 1
2023-02-03 09:02:13.133:   Get IP from the function config with key is "IP".
2023-02-03 09:02:13.133:   IP: 192.168.1.1
2023-02-03 09:02:13.134:   [Cmd] ------------------------------------ 1
2023-02-03 09:02:13.134:   [Cmd] Send command: arp -d 192.168.1.1
2023-02-03 09:02:13.190:   [Cmd] 
2023-02-03 09:02:13.191:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-02-03 09:02:13.220:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-02-03 09:02:13.220:   [Cmd] Reply from 192.168.1.1: bytes=32 time=1ms TTL=64
2023-02-03 09:02:13.220:   [Cmd] 
2023-02-03 09:02:13.221:   [Cmd] Ping statistics for 192.168.1.1:
2023-02-03 09:02:13.221:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2023-02-03 09:02:13.221:   [Cmd] Approximate round trip times in milli-seconds:
2023-02-03 09:02:13.221:   [Cmd] Minimum = 1ms, Maximum = 1ms, Average = 1ms
2023-02-03 09:02:13.221:   [Cmd] ------------------------------------
2023-02-03 09:02:13.221:   ****************************************************
2023-02-03 09:02:13.222:   Item name = dut_ping_1
2023-02-03 09:02:13.222:   Value = passed
2023-02-03 09:02:13.222:   Test status = passed
2023-02-03 09:02:13.222:   -----------------------------------------------------
2023-02-03 09:02:13.222:   ****************************************************
2023-02-03 09:02:13.222:   TIME[0.091 s] - STATUS[PASSED]
