2023-02-03 08:58:56.136:   ITEM[reboot_soft] - FUNCTION[RebootSoftProxy]
2023-02-03 08:58:56.137:   Turn: 1
2023-02-03 08:58:56.137:   Get IP from the function config with key is "IP".
2023-02-03 08:58:56.138:   IP: null
2023-02-03 08:58:56.139:   ****************************************************
2023-02-03 08:58:56.139:   Item name = reboot_soft
2023-02-03 08:58:56.139:   Value = failed
2023-02-03 08:58:56.140:   Test status = failed
2023-02-03 08:58:56.140:   -----------------------------------------------------
2023-02-03 08:58:56.141:   Turn: 2
2023-02-03 08:58:56.141:   Get IP from the function config with key is "IP".
2023-02-03 08:58:56.142:   IP: null
2023-02-03 08:58:56.143:   ****************************************************
2023-02-03 08:58:56.143:   Item name = reboot_soft
2023-02-03 08:58:56.143:   Value = failed
2023-02-03 08:58:56.144:   Test status = failed
2023-02-03 08:58:56.144:   -----------------------------------------------------
2023-02-03 08:58:56.144:   Turn: 3
2023-02-03 08:58:56.145:   Get IP from the function config with key is "IP".
2023-02-03 08:58:56.145:   IP: null
2023-02-03 08:58:56.145:   ****************************************************
2023-02-03 08:58:56.145:   Item name = reboot_soft
2023-02-03 08:58:56.145:   Value = failed
2023-02-03 08:58:56.146:   Test status = failed
2023-02-03 08:58:56.146:   -----------------------------------------------------
2023-02-03 08:58:56.146:   Turn: 4
2023-02-03 08:58:56.146:   Get IP from the function config with key is "IP".
2023-02-03 08:58:56.147:   IP: null
2023-02-03 08:58:56.147:   ****************************************************
2023-02-03 08:58:56.147:   Item name = reboot_soft
2023-02-03 08:58:56.147:   Value = failed
2023-02-03 08:58:56.147:   Test status = failed
2023-02-03 08:58:56.147:   -----------------------------------------------------
2023-02-03 08:58:56.147:   Error code = -1
2023-02-03 08:58:56.147:   Error des = reboot_soft
2023-02-03 08:58:56.147:   Local error code = 26.1.0
2023-02-03 08:58:56.147:   Local error des = reboot_soft
2023-02-03 08:58:56.148:   ****************************************************
2023-02-03 08:58:56.148:   TIME[0.012 s] - STATUS[FAILED]
