2023-02-03 10:15:38.350:   ITEM[UpAPI] - FUNCTION[UpApiProxy]
2023-02-03 10:15:38.351:   Turn: 1
2023-02-03 10:15:38.351:   [PC] ElementName: [mlbsn, station_name, mode]
2023-02-03 10:15:38.351:   [Cmd] Send command: cd python && eero_API_client.py log/GGB1UD2230521ES3_REPAIR-7801_Debug
2023-02-03 10:15:38.569:   [Cmd] log/GGB1UD2230521ES3_REPAIR-7801_Debug_serial.zip
2023-02-03 10:15:38.570:   [Cmd] must have a json file
2023-02-03 10:15:38.570:   ****************************************************
2023-02-03 10:15:38.570:   Item name = UpAPI
2023-02-03 10:15:38.570:   Value = failed
2023-02-03 10:15:38.570:   Test status = failed
2023-02-03 10:15:38.570:   -----------------------------------------------------
2023-02-03 10:15:38.570:   Error code = -1
2023-02-03 10:15:38.570:   Error des = UpAPI
2023-02-03 10:15:38.570:   Local error code = API01
2023-02-03 10:15:38.570:   Local error des = UpAPI
2023-02-03 10:15:38.570:   ****************************************************
2023-02-03 10:15:38.571:   TIME[0.220 s] - STATUS[FAILED]
