2022-12-13 10:25:34.657:   ITEM[wps_ok] - FUNCTION[PowerSwitchProxy]
2022-12-13 10:25:34.659:   Turn: 1
2022-12-13 10:25:34.660:   [CONFIG] host: 192.168.1.11
2022-12-13 10:25:34.660:   [CONFIG] user: admin
2022-12-13 10:25:34.661:   [CONFIG] passWord: 1234
2022-12-13 10:25:34.661:   [CONFIG] Times: 1
2022-12-13 10:25:34.661:   [CONFIG] index of switch: 2
2022-12-13 10:25:34.662:   [CONFIG] Delay time: 5 s
2022-12-13 10:25:34.662:   cycle Times: 1 - 1
2022-12-13 10:25:55.726:   [POWER_SWITCH] http://192.168.1.11/outlet?2=OFF
2022-12-13 10:25:55.727:   [POWER_SWITCH] Exception: Connect to 192.168.1.11:80 [/192.168.1.11] failed: Connection timed out: connect
2022-12-13 10:26:00.740:   ****************************************************
2022-12-13 10:26:00.741:   Item name = WPS_OK
2022-12-13 10:26:00.741:   Limit type = BOOL
2022-12-13 10:26:00.741:   Uper limit =
2022-12-13 10:26:00.741:   Lowet limit =
2022-12-13 10:26:00.742:   Value = failed
2022-12-13 10:26:00.742:   Test status = failed
2022-12-13 10:26:00.742:   -----------------------------------------------------
2022-12-13 10:26:00.743:   Error code = 1.3
2022-12-13 10:26:00.743:   Error des = WPS_OK
2022-12-13 10:26:00.743:   Local error code = 39.3.0
2022-12-13 10:26:00.743:   Local error des = wps_ok
2022-12-13 10:26:00.744:   ****************************************************
2022-12-13 10:26:00.745:   TIME[26.086 s] - STATUS[FAILED]
