2022-07-05 02:19:37.672:   ITEM[wps_ok] - FUNCTION[PowerSwitchProxy]
2022-07-05 02:19:37.673:   Turn 0:
2022-07-05 02:19:37.674:   [CONFIG] host: 192.168.0.11
2022-07-05 02:19:37.674:   [CONFIG] user: admin
2022-07-05 02:19:37.674:   [CONFIG] passWord: 1234
2022-07-05 02:19:37.674:   [CONFIG] Times: 10
2022-07-05 02:19:37.675:   [CONFIG] index of switch: 3
2022-07-05 02:19:37.675:   [CONFIG] Delay time: 3
2022-07-05 02:19:37.677:   cycle Times: 1 - 10
2022-07-05 02:19:58.720:   [POWER_SWITCH] http://192.168.0.11/outlet?3=OFF
2022-07-05 02:19:58.720:   Exception: Connect to 192.168.0.11:80 [/192.168.0.11] failed: Connection timed out: connect
2022-07-05 02:19:59.733:   ****************************************************
2022-07-05 02:19:59.734:   Limit type: "BOOL"
2022-07-05 02:19:59.734:   Uper limit: ""
2022-07-05 02:19:59.734:   Lowet limit: ""
2022-07-05 02:19:59.734:   Test Value: "failed"
2022-07-05 02:19:59.734:   Item name: WPS_OK
2022-07-05 02:19:59.734:   ****************************************************
2022-07-05 02:19:59.735:   Turn 1:
2022-07-05 02:19:59.735:   [CONFIG] host: 192.168.0.11
2022-07-05 02:19:59.735:   [CONFIG] user: admin
2022-07-05 02:19:59.735:   [CONFIG] passWord: 1234
2022-07-05 02:19:59.735:   [CONFIG] Times: 10
2022-07-05 02:19:59.735:   [CONFIG] index of switch: 3
2022-07-05 02:19:59.736:   [CONFIG] Delay time: 3
2022-07-05 02:19:59.738:   cycle Times: 1 - 10
2022-07-05 02:20:20.785:   [POWER_SWITCH] http://192.168.0.11/outlet?3=OFF
2022-07-05 02:20:20.785:   Exception: Connect to 192.168.0.11:80 [/192.168.0.11] failed: Connection timed out: connect
2022-07-05 02:20:21.790:   ****************************************************
2022-07-05 02:20:21.790:   Limit type: "BOOL"
2022-07-05 02:20:21.790:   Uper limit: ""
2022-07-05 02:20:21.790:   Lowet limit: ""
2022-07-05 02:20:21.790:   Test Value: "failed"
2022-07-05 02:20:21.790:   Item name: WPS_OK
2022-07-05 02:20:21.790:   ****************************************************
2022-07-05 02:20:21.791:   Error code: 1.3
2022-07-05 02:20:21.791:   Local error code: 39.3.0
2022-07-05 02:20:21.791:   Local error des: wps_ok
2022-07-05 02:20:21.791:   TIME[44.118 s] - STATUS[FAILED]
