2023-02-14 08:16:24.548:   ITEM[CreateJson_1] - FUNCTION[CreateJsonApiProxy]
2023-02-14 08:16:24.549:   Turn: 1
2023-02-14 08:16:24.549:   [PC] Follow limit: false
2023-02-14 08:16:24.549:   [PC] Use the limit errorcode: true
2023-02-14 08:16:24.550:   [PC] Root: error_details = wps_ok
2023-02-14 08:16:24.550:   [PC] -----------------------------------------
2023-02-14 08:16:24.550:   [PC] Root: status = failed
2023-02-14 08:16:24.550:   [PC] -----------------------------------------
2023-02-14 08:16:24.550:   [PC] Root: finish_time = 2023-02-14 08:16:24
2023-02-14 08:16:24.551:   [PC] -----------------------------------------
2023-02-14 08:16:24.551:   [PC] Root: test_software_version = V1.1.1.1
2023-02-14 08:16:24.551:   [PC] -----------------------------------------
2023-02-14 08:16:24.551:   [PC] Root: start_time = 2023-02-14 08:16:02
2023-02-14 08:16:24.552:   [PC] -----------------------------------------
2023-02-14 08:16:24.552:   [PC] Root: station_type = RUNIN
2023-02-14 08:16:24.552:   [PC] -----------------------------------------
2023-02-14 08:16:24.552:   [PC] Root: error_code = -1
2023-02-14 08:16:24.552:   [PC] -----------------------------------------
2023-02-14 08:16:24.552:   [PC] Root: errorcode = 39.3.0
2023-02-14 08:16:24.553:   [PC] -----------------------------------------
2023-02-14 08:16:24.553:   [PC] Root: errorDes = wps_ok
2023-02-14 08:16:24.553:   [PC] -----------------------------------------
2023-02-14 08:16:24.553:   [PC] Root: serial = null
2023-02-14 08:16:24.553:   [PC] -----------------------------------------
2023-02-14 08:16:24.553:   [PC] Root: mode = debug
2023-02-14 08:16:24.553:   [PC] -----------------------------------------
2023-02-14 08:16:24.554:   [PC] Root: station_name = REPAIR-7801
2023-02-14 08:16:24.554:   [PC] -----------------------------------------
2023-02-14 08:16:24.554:   [PC] Root: position =
2023-02-14 08:16:24.554:   [PC] -----------------------------------------
2023-02-14 08:16:24.554:   [PC] Root: cycle_time = 21.697
2023-02-14 08:16:24.554:   [PC] -----------------------------------------
2023-02-14 08:16:24.555:   [PC] Root: cyctime_final = 21.697
2023-02-14 08:16:24.555:   [PC] -----------------------------------------
2023-02-14 08:16:24.555:   [PC] Item name: gen_node
2023-02-14 08:16:24.561:   [PC] ItemTest: gen_node = {"start_time":"2023-02-14 08:16:02","lower_limit":"","cycle_time":"0.002","upper_limit":"","error_code":"","units":"","errorDes":"","test_name":"gen_node","finish_time":"2023-02-14 08:16:02","errorcode":"","test_value":"passed","status":"passed"}
2023-02-14 08:16:24.561:   [PC] Item name: wps_ok
2023-02-14 08:16:24.561:   [PC] ItemTest: wps_ok = {"start_time":"2023-02-14 08:16:02","lower_limit":"","cycle_time":"21.659","upper_limit":"","error_code":"-1","units":"","errorDes":"wps_ok","test_name":"wps_ok","finish_time":"2023-02-14 08:16:24","errorcode":"39.3.0","test_value":"failed","status":"failed"}
2023-02-14 08:16:24.561:   [PC] Item name: CreateTxt_1
2023-02-14 08:16:24.562:   [PC] ItemTest: CreateTxt_1 = {"start_time":"2023-02-14 08:16:24","lower_limit":"","cycle_time":"0.008","upper_limit":"","error_code":"","units":"","errorDes":"","test_name":"CreateTxt_1","finish_time":"2023-02-14 08:16:24","errorcode":"","test_value":"passed","status":"passed"}
2023-02-14 08:16:24.562:   [PC] ElementName: [mlbsn, sn, position, status, mode, finish_time]
2023-02-14 08:16:24.563:   [PC] Format for json data!
2023-02-14 08:16:24.564:   [PC] Save data in: Log/TestLog/mlbsn_sn__failed_debug_2023-02-14-08-16-24.json ok
2023-02-14 08:16:24.564:   ****************************************************
2023-02-14 08:16:24.565:   Item name = CreateJson_1
2023-02-14 08:16:24.565:   Value = passed
2023-02-14 08:16:24.565:   Test status = passed
2023-02-14 08:16:24.565:   -----------------------------------------------------
2023-02-14 08:16:24.565:   ****************************************************
2023-02-14 08:16:24.566:   TIME[0.017 s] - STATUS[PASSED]
