2023-02-14 08:16:24.567:   ITEM[UpTxtFTP] - FUNCTION[UpFTPProxy]
2023-02-14 08:16:24.568:   Turn: 1
2023-02-14 08:16:24.568:   [PC] Connect to ftp!!
2023-02-14 08:16:24.568:   [Config] User: oper
2023-02-14 08:16:24.568:   [Config] PassWord: mfg-oper
2023-02-14 08:16:24.569:   [Config] Host: 10.90.10.168
2023-02-14 08:16:24.569:   [Config] Port: 21
2023-02-14 08:16:45.692:   ****************************************************
2023-02-14 08:16:45.693:   Item name = UpTxtFTP
2023-02-14 08:16:45.693:   Value = failed
2023-02-14 08:16:45.693:   Test status = failed
2023-02-14 08:16:45.693:   -----------------------------------------------------
2023-02-14 08:16:45.694:   Error code = -1
2023-02-14 08:16:45.694:   Error des = UpTxtFTP
2023-02-14 08:16:45.694:   Local error code = UpTxtFtp
2023-02-14 08:16:45.694:   Local error des = UpTxtFTP
2023-02-14 08:16:45.694:   ****************************************************
2023-02-14 08:16:45.695:   TIME[21.127 s] - STATUS[FAILED]
