2022-07-15 08:47:22.503:   ITEM[CreateJsonLog] - FUNCTION[CreateJsonApiProxy]
2022-07-15 08:47:23.456:   Turn 0:
2022-07-15 08:47:23.457:   [PC] Root: error_details = sn_ok
2022-07-15 08:47:23.457:   [PC] -----------------------------------------
2022-07-15 08:47:23.457:   [PC] Root: status = failed
2022-07-15 08:47:23.457:   [PC] -----------------------------------------
2022-07-15 08:47:23.457:   [PC] Root: finish_time = 2022-07-15 08:47:22
2022-07-15 08:47:23.457:   [PC] -----------------------------------------
2022-07-15 08:47:23.457:   [PC] Root: test_software_version = 1.0.0
2022-07-15 08:47:23.458:   [PC] -----------------------------------------
2022-07-15 08:47:23.458:   [PC] Root: start_time = 2022-07-15 08:47:15
2022-07-15 08:47:23.458:   [PC] -----------------------------------------
2022-07-15 08:47:23.458:   [PC] Root: station_type = REPAIR
2022-07-15 08:47:23.458:   [PC] -----------------------------------------
2022-07-15 08:47:23.458:   [PC] Root: error_code = 30.1.0
2022-07-15 08:47:23.458:   [PC] -----------------------------------------
2022-07-15 08:47:23.458:   [PC] Root: serial = null
2022-07-15 08:47:23.458:   [PC] -----------------------------------------
2022-07-15 08:47:23.458:   [PC] Root: mode = Debug
2022-07-15 08:47:23.458:   [PC] -----------------------------------------
2022-07-15 08:47:23.458:   [PC] Root: station_name = REPAIR-7801
2022-07-15 08:47:23.458:   [PC] -----------------------------------------
2022-07-15 08:47:23.459:   [PC] Root: position = main
2022-07-15 08:47:23.459:   [PC] -----------------------------------------
2022-07-15 08:47:23.459:   [PC] Missing "gen_node" item test!
2022-07-15 08:47:23.466:   [PC] ItemTest: dut_ping = {"start_time":"2022-07-15 08:47:18","lower_limit":"","upper_limit":"","error_code":"","units":"","test_name":"DUT_PING","finish_time":"2022-07-15 08:47:19","test_value":"passed","status":"passed"}
2022-07-15 08:47:23.467:   [PC] ItemTest: ort_type = null
2022-07-15 08:47:23.467:   [PC] Missing "emmc_speed_read" item test!
2022-07-15 08:47:23.467:   [PC] Missing "emmc_speed_write" item test!
2022-07-15 08:47:23.468:   [PC] ItemTest: sn_ok = {"start_time":"2022-07-15 08:47:19","lower_limit":"","upper_limit":"","error_code":"15","units":"","test_name":"SN_OK","finish_time":"2022-07-15 08:47:19","test_value":"GGB1UDD21472001A","status":"failed"}
2022-07-15 08:47:23.468:   [PC] ItemTest: mac_ok = {"start_time":"2022-07-15 08:47:19","lower_limit":"","upper_limit":"","error_code":"15","units":"","test_name":"MAC_OK","finish_time":"2022-07-15 08:47:20","test_value":"64:97:14:04:8d:60","status":"failed"}
2022-07-15 08:47:23.468:   [PC] Missing "temp_cpu" item test!
2022-07-15 08:47:23.468:   [PC] Missing "cpu_stress" item test!
2022-07-15 08:47:23.468:   [PC] Missing "mac" item test!
2022-07-15 08:47:23.468:   [PC] Missing "shop_floor" item test!
2022-07-15 08:47:23.468:   [PC] ItemTest: wps_ok = {"start_time":"2022-07-15 08:47:15","lower_limit":"","upper_limit":"","error_code":"","units":"","test_name":"WPS_OK","finish_time":"2022-07-15 08:47:18","test_value":"passed","status":"passed"}
2022-07-15 08:47:23.468:   [PC] ItemTest: humidity_env = null
2022-07-15 08:47:23.468:   [PC] Missing "ram_stress" item test!
2022-07-15 08:47:23.468:   [PC] Missing "power_cycle" item test!
2022-07-15 08:47:23.468:   [PC] ItemTest: temp_env = null
2022-07-15 08:47:23.468:   [PC] Missing "reboot_soft" item test!
2022-07-15 08:47:23.468:   [PC] ItemTest: wifi_start = null
2022-07-15 08:47:23.468:   [PC] ItemTest: temp_cpu1 = null
2022-07-15 08:47:23.468:   [PC] ItemTest: dut_telnet = {"start_time":"2022-07-15 08:47:19","lower_limit":"","upper_limit":"","error_code":"","units":"","test_name":"DUT_TELNET","finish_time":"2022-07-15 08:47:19","test_value":"passed","status":"passed"}
2022-07-15 08:47:23.468:   [PC] Missing "emmc_badblocks" item test!
2022-07-15 08:47:23.469:   [PC] ItemTest: test_image_version = {"start_time":"2022-07-15 08:47:21","lower_limit":"1.3.0.64|1.3.0.72|1.3.0.74","upper_limit":"","error_code":"17","units":"","test_name":"TEST_IMAGE_VERSION","finish_time":"2022-07-15 08:47:21","test_value":"1.3.0.63","status":"failed"}
2022-07-15 08:47:23.470:   [PC] Format for json data!
2022-07-15 08:47:23.471:   [PC] Save data in: python/log\mlbsn_pcname.json ok
2022-07-15 08:47:23.471:   ****************************************************
2022-07-15 08:47:23.471:   Test Value: "passed"
2022-07-15 08:47:23.471:   Item name: CreateJsonLog
2022-07-15 08:47:23.471:   ****************************************************
2022-07-15 08:47:23.471:   TIME[0.968 s] - STATUS[PASSED]
