2023-02-03 08:15:55.886:   ITEM[dut_ping] - FUNCTION[DutPingProxy]
2023-02-03 08:15:55.887:   Turn: 1
2023-02-03 08:15:55.887:   Get IP from the function config with key is "IP".
2023-02-03 08:15:55.887:   IP: 192.168.1.1
2023-02-03 08:15:55.887:   [Cmd] ------------------------------------ 1
2023-02-03 08:15:55.887:   [Cmd] Send command: arp -d 192.168.1.1
2023-02-03 08:15:55.922:   [Cmd] 
2023-02-03 08:15:55.922:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-02-03 08:15:55.952:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-02-03 08:15:55.952:   [Cmd] Reply from 192.168.1.1: bytes=32 time=1ms TTL=64
2023-02-03 08:15:55.952:   [Cmd] 
2023-02-03 08:15:55.952:   [Cmd] Ping statistics for 192.168.1.1:
2023-02-03 08:15:55.952:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2023-02-03 08:15:55.952:   [Cmd] Approximate round trip times in milli-seconds:
2023-02-03 08:15:55.952:   [Cmd] Minimum = 1ms, Maximum = 1ms, Average = 1ms
2023-02-03 08:15:55.952:   [Cmd] ------------------------------------
2023-02-03 08:15:55.952:   ****************************************************
2023-02-03 08:15:55.953:   Item name = dut_ping
2023-02-03 08:15:55.953:   Value = passed
2023-02-03 08:15:55.953:   Test status = passed
2023-02-03 08:15:55.953:   -----------------------------------------------------
2023-02-03 08:15:55.953:   ****************************************************
2023-02-03 08:15:55.953:   TIME[0.067 s] - STATUS[PASSED]
