2022-09-06 20:31:46.608:   ITEM[fixtureOpen] - FUNCTION[FixtureActionProxy]
2022-09-06 20:31:46.609:   Turn run: 1
2022-09-06 20:31:46.609:   [ComPort] Connect to : COM5
2022-09-06 20:31:46.609:   [ComPort] BaudRate is: 115200
2022-09-06 20:31:46.610:   [ComPort] Connect COM5 failed
2022-09-06 20:31:46.611:   ****************************************************
2022-09-06 20:31:46.611:   Item name = fixtureOpen
2022-09-06 20:31:46.611:   Value = failed
2022-09-06 20:31:46.611:   Test status = failed
2022-09-06 20:31:46.611:   -----------------------------------------------------
2022-09-06 20:31:46.612:   Error code = -1
2022-09-06 20:31:46.612:   Error des = fixtureOpen
2022-09-06 20:31:46.612:   Local error code = FIX01
2022-09-06 20:31:46.612:   Local error des = fixtureOpen
2022-09-06 20:31:46.612:   ****************************************************
2022-09-06 20:31:46.613:   TIME[0.004 s] - STATUS[FAILED]
