2022-09-10 17:14:47.219:   ITEM[fixture_close] - FUNCTION[FixtureActionProxy]
2022-09-10 17:14:47.220:   Turn run: 1
2022-09-10 17:14:47.220:   [ComPort] Connect to : COM5
2022-09-10 17:14:47.220:   [ComPort] BaudRate is: 115200
2022-09-10 17:14:47.221:   [ComPort] Connect COM5 failed
2022-09-10 17:14:47.221:   ****************************************************
2022-09-10 17:14:47.221:   Item name = fixture_close
2022-09-10 17:14:47.221:   Value = failed
2022-09-10 17:14:47.221:   Test status = failed
2022-09-10 17:14:47.221:   -----------------------------------------------------
2022-09-10 17:14:47.221:   Error code = -1
2022-09-10 17:14:47.221:   Error des = fixture_close
2022-09-10 17:14:47.221:   Local error code = FIX00
2022-09-10 17:14:47.222:   Local error des = fixture_close
2022-09-10 17:14:47.222:   ****************************************************
2022-09-10 17:14:47.222:   TIME[0.003 s] - STATUS[FAILED]
