2022-07-14 08:58:55.466:   ITEM[Json] - FUNCTION[JsonApiProxy]
2022-07-14 08:58:56.559:   Turn 0:
2022-07-14 08:58:56.559:   [Get] -----------------------------------------
2022-07-14 08:58:56.560:   [Get] key is error_details
2022-07-14 08:58:56.561:   [Get] Value is null
2022-07-14 08:58:56.561:   [Get] -----------------------------------------
2022-07-14 08:58:56.561:   [Get] -----------------------------------------
2022-07-14 08:58:56.562:   [Get] key is status
2022-07-14 08:58:56.562:   [Get] Value is failed
2022-07-14 08:58:56.563:   [Get] -----------------------------------------
2022-07-14 08:58:56.564:   [Get] -----------------------------------------
2022-07-14 08:58:56.564:   [Get] key is finish_time
2022-07-14 08:58:56.565:   [Get] Value is 2022-07-14 08:58:55
2022-07-14 08:58:56.565:   [Get] -----------------------------------------
2022-07-14 08:58:56.566:   [Get] -----------------------------------------
2022-07-14 08:58:56.566:   [Get] key is test_software_version
2022-07-14 08:58:56.566:   [Get] Value is null
2022-07-14 08:58:56.567:   [Get] -----------------------------------------
2022-07-14 08:58:56.567:   [Get] -----------------------------------------
2022-07-14 08:58:56.568:   [Get] key is start_time
2022-07-14 08:58:56.568:   [Get] Value is 2022-07-14 08:58:36
2022-07-14 08:58:56.569:   [Get] -----------------------------------------
2022-07-14 08:58:56.569:   [Get] -----------------------------------------
2022-07-14 08:58:56.569:   [Get] key is station_type
2022-07-14 08:58:56.570:   [Get] Value is REPAIR
2022-07-14 08:58:56.570:   [Get] -----------------------------------------
2022-07-14 08:58:56.571:   [Get] -----------------------------------------
2022-07-14 08:58:56.571:   [Get] key is error_code
2022-07-14 08:58:56.572:   [Get] Value is 30.1.0
2022-07-14 08:58:56.572:   [Get] -----------------------------------------
2022-07-14 08:58:56.572:   [Get] -----------------------------------------
2022-07-14 08:58:56.573:   [Get] key is serial
2022-07-14 08:58:56.573:   [Get] Value is null
2022-07-14 08:58:56.574:   [Get] -----------------------------------------
2022-07-14 08:58:56.574:   [Get] -----------------------------------------
2022-07-14 08:58:56.575:   [Get] key is mode
2022-07-14 08:58:56.575:   [Get] Value is Debug
2022-07-14 08:58:56.575:   [Get] -----------------------------------------
2022-07-14 08:58:56.576:   [Get] -----------------------------------------
2022-07-14 08:58:56.576:   [Get] key is station_name
2022-07-14 08:58:56.577:   [Get] Value is null
2022-07-14 08:58:56.577:   [Get] -----------------------------------------
2022-07-14 08:58:56.578:   [Get] -----------------------------------------
2022-07-14 08:58:56.578:   [Get] key is position
2022-07-14 08:58:56.579:   [Get] Value is null
2022-07-14 08:58:56.579:   [Get] -----------------------------------------
2022-07-14 08:58:56.580:   ****************************************************
2022-07-14 08:58:56.581:   Test Value: "passed"
2022-07-14 08:58:56.581:   Item name: Json
2022-07-14 08:58:56.581:   ****************************************************
2022-07-14 08:58:56.583:   TIME[1.115 s] - STATUS[PASSED]
