2023-02-03 08:15:57.772:   ITEM[reboot_soft] - FUNCTION[RebootSoftProxy]
2023-02-03 08:15:57.773:   Turn: 1
2023-02-03 08:15:57.773:   Get IP from the function config with key is "IP".
2023-02-03 08:15:57.774:   IP: 192.168.1.1
2023-02-03 08:15:57.774:   [CONFIG] Time: 20
2023-02-03 08:15:57.774:   [PC] Connect to host: 192.168.1.1
2023-02-03 08:15:57.774:   [PC] Port is: 23
2023-02-03 08:15:57.774:   [Cmd] ------------------------------------ 1
2023-02-03 08:15:57.774:   [Cmd] Send command: arp -d 192.168.1.1
2023-02-03 08:15:57.806:   [Cmd] 
2023-02-03 08:15:57.806:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-02-03 08:15:57.836:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-02-03 08:15:57.836:   [Cmd] Reply from 192.168.1.1: bytes=32 time=1ms TTL=64
2023-02-03 08:15:57.836:   [Cmd] 
2023-02-03 08:15:57.836:   [Cmd] Ping statistics for 192.168.1.1:
2023-02-03 08:15:57.836:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2023-02-03 08:15:57.836:   [Cmd] Approximate round trip times in milli-seconds:
2023-02-03 08:15:57.836:   [Cmd] Minimum = 1ms, Maximum = 1ms, Average = 1ms
2023-02-03 08:15:57.836:   [Cmd] ------------------------------------
2023-02-03 08:15:57.953:   [Telnet] === IMPORTANT ============================
2023-02-03 08:15:57.953:   [Telnet] Use 'passwd' to set your login password!
2023-02-03 08:15:57.953:   [Telnet] ------------------------------------------
2023-02-03 08:15:57.953:   [Telnet] 
2023-02-03 08:15:57.953:   [Telnet] 
2023-02-03 08:15:57.954:   [Telnet] BusyBox v1.30.1 () built-in shell (ash)
2023-02-03 08:15:57.954:   [Telnet] 
2023-02-03 08:15:57.954:   [Telnet] MM           NM                    MMMMMMM          M       M
2023-02-03 08:15:57.954:   [Telnet] $MMMMM        MMMMM                MMMMMMMMMMM      MMM     MMM
2023-02-03 08:15:57.954:   [Telnet] MMMMMMMM     MM MMMMM.              MMMMM:MMMMMM:   MMMM   MMMMM
2023-02-03 08:15:57.954:   [Telnet] MMMM= MMMMMM  MMM   MMMM       MMMMM   MMMM  MMMMMM   MMMM  MMMMM'
2023-02-03 08:15:57.954:   [Telnet] MMMM=  MMMMM MMMM    MM       MMMMM    MMMM    MMMM   MMMMNMMMMM
2023-02-03 08:15:57.954:   [Telnet] MMMM=   MMMM  MMMMM          MMMMM     MMMM    MMMM   MMMMMMMM
2023-02-03 08:15:57.954:   [Telnet] MMMM=   MMMM   MMMMMM       MMMMM      MMMM    MMMM   MMMMMMMMM
2023-02-03 08:15:57.954:   [Telnet] MMMM=   MMMM     MMMMM,    NMMMMMMMM   MMMM    MMMM   MMMMMMMMMMM
2023-02-03 08:15:57.954:   [Telnet] MMMM=   MMMM      MMMMMM   MMMMMMMM    MMMM    MMMM   MMMM  MMMMMM
2023-02-03 08:15:57.954:   [Telnet] MMMM=   MMMM   MM    MMMM    MMMM      MMMM    MMMM   MMMM    MMMM
2023-02-03 08:15:57.955:   [Telnet] MMMM$ ,MMMMM  MMMMM  MMMM    MMM       MMMM   MMMMM   MMMM    MMMM
2023-02-03 08:15:57.955:   [Telnet] MMMMMMM:      MMMMMMM     M         MMMMMMMMMMMM  MMMMMMM MMMMMMM
2023-02-03 08:15:57.955:   [Telnet] MMMMMM       MMMMN     M           MMMMMMMMM      MMMM    MMMM
2023-02-03 08:15:57.955:   [Telnet] MMMM          M                    MMMMMMM        M       M
2023-02-03 08:15:57.955:   [Telnet] M
2023-02-03 08:15:57.955:   [Telnet] ---------------------------------------------------------------
2023-02-03 08:15:57.955:   [Telnet] For those about to rock... (Chaos Calmer, unknown)
2023-02-03 08:15:57.955:   [Telnet] ---------------------------------------------------------------
2023-02-03 08:15:57.955:   [Telnet] root@eero-test:/#
2023-02-03 08:15:58.061:   [Telnet] root@eero-test:/#
2023-02-03 08:15:58.061:   [Telnet] send reboot...
2023-02-03 08:15:58.062:   [Telnet] Send command: reboot
2023-02-03 08:16:01.102:   [Telnet] reboot
2023-02-03 08:16:01.102:   [Telnet] root@eero-test:/#
2023-02-03 08:16:01.103:   [Cmd] ------------------------------------ 1
2023-02-03 08:16:01.103:   [Cmd] Send command: arp -d 192.168.1.1
2023-02-03 08:16:01.172:   [Cmd] 
2023-02-03 08:16:01.173:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-02-03 08:16:04.773:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-02-03 08:16:04.773:   [Cmd] Request timed out.
2023-02-03 08:16:04.774:   [Cmd] 
2023-02-03 08:16:04.775:   [Cmd] Ping statistics for 192.168.1.1:
2023-02-03 08:16:04.776:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-02-03 08:16:04.776:   [Cmd] ------------------------------------
2023-02-03 08:16:04.776:   [Telnet] Reboot ok!
2023-02-03 08:16:04.777:   [Cmd] ------------------------------------ 1
2023-02-03 08:16:04.778:   [Cmd] Send command: arp -d 192.168.1.1
2023-02-03 08:16:04.811:   [Cmd] 
2023-02-03 08:16:04.812:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-02-03 08:16:08.761:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-02-03 08:16:08.761:   [Cmd] Request timed out.
2023-02-03 08:16:08.761:   [Cmd] 
2023-02-03 08:16:08.761:   [Cmd] Ping statistics for 192.168.1.1:
2023-02-03 08:16:08.761:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-02-03 08:16:08.761:   [Cmd] ------------------------------------
2023-02-03 08:16:08.761:   [Cmd] ------------------------------------ 2
2023-02-03 08:16:08.762:   [Cmd] Send command: arp -d 192.168.1.1
2023-02-03 08:16:08.794:   [Cmd] 
2023-02-03 08:16:08.794:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-02-03 08:16:12.778:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-02-03 08:16:12.779:   [Cmd] Request timed out.
2023-02-03 08:16:12.779:   [Cmd] 
2023-02-03 08:16:12.780:   [Cmd] Ping statistics for 192.168.1.1:
