2022-09-06 20:17:39.228:   ITEM[usb_aside_5] - FUNCTION[UsbAsideProxy]
2022-09-06 20:17:39.229:   Turn run: 1
2022-09-06 20:17:39.232:   [ComPort] Connect to : COM5
2022-09-06 20:17:39.232:   [ComPort] BaudRate is: 115200
2022-09-06 20:17:39.248:   [ComPort] Connect COM5 failed
2022-09-06 20:17:39.248:   ****************************************************
2022-09-06 20:17:39.248:   Item name = usb_aside_5
2022-09-06 20:17:39.248:   Value = failed
2022-09-06 20:17:39.248:   Test status = failed
2022-09-06 20:17:39.248:   -----------------------------------------------------
2022-09-06 20:17:39.249:   Turn run: 2
2022-09-06 20:17:39.250:   [ComPort] Connect to : COM5
2022-09-06 20:17:39.250:   [ComPort] BaudRate is: 115200
2022-09-06 20:17:39.255:   [ComPort] Connect COM5 failed
2022-09-06 20:17:39.255:   ****************************************************
2022-09-06 20:17:39.256:   Item name = usb_aside_5
2022-09-06 20:17:39.256:   Value = failed
2022-09-06 20:17:39.256:   Test status = failed
2022-09-06 20:17:39.256:   -----------------------------------------------------
2022-09-06 20:17:39.256:   Error code = -1
2022-09-06 20:17:39.256:   Error des = usb_aside_5
2022-09-06 20:17:39.257:   Local error code = 35.1.0
2022-09-06 20:17:39.257:   Local error des = usb_aside
2022-09-06 20:17:39.257:   ****************************************************
2022-09-06 20:17:39.257:   TIME[0.028 s] - STATUS[FAILED]
