2022-07-08 16:56:01.056:   ITEM[dut_ping] - FUNCTION[DutPingProxy]
2022-07-08 16:56:01.058:   Turn 0:
2022-07-08 16:56:01.059:   Get IP from the DHCP with MAC is "649714048d60"
2022-07-08 16:56:01.061:   IP: 172.168.1.0
2022-07-08 16:56:01.062:   [Cmd] Send command: arp -d 172.168.1.0
2022-07-08 16:56:01.074:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-08 16:56:01.130:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-08 16:56:01.130:   [Cmd] Reply from 172.168.1.0: bytes=32 time=1ms TTL=64
2022-07-08 16:56:01.130:   [Cmd] 
2022-07-08 16:56:01.130:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-08 16:56:01.131:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2022-07-08 16:56:01.131:   [Cmd] Approximate round trip times in milli-seconds:
2022-07-08 16:56:01.132:   [Cmd] Minimum = 1ms, Maximum = 1ms, Average = 1ms
2022-07-08 16:56:01.132:   [Cmd] ------------------------------------
2022-07-08 16:56:01.132:   ****************************************************
2022-07-08 16:56:01.132:   Limit type: "BOOL"
2022-07-08 16:56:01.132:   Uper limit: ""
2022-07-08 16:56:01.133:   Lowet limit: ""
2022-07-08 16:56:01.133:   Test Value: "passed"
2022-07-08 16:56:01.133:   Item name: DUT_PING
2022-07-08 16:56:01.133:   ****************************************************
2022-07-08 16:56:01.134:   TIME[0.075 s] - STATUS[PASSED]
