2022-07-05 10:39:45.276:   ITEM[dut_ping] - FUNCTION[PingIpProxy]
2022-07-05 10:39:45.277:   Turn 0:
2022-07-05 10:39:45.277:   Get IP!
2022-07-05 10:39:45.278:   IP: 192.168.0.0
2022-07-05 10:39:45.278:   command: ping 192.168.0.0 -n 200
2022-07-05 10:39:45.307:   [PING]
2022-07-05 10:39:45.307:   [PING] Pinging 192.168.0.0 with 32 bytes of data:
2022-07-05 10:39:49.264:   [PING] Request timed out.
2022-07-05 10:39:54.259:   [PING] Request timed out.
2022-07-05 10:39:59.253:   [PING] Request timed out.
2022-07-05 10:40:04.254:   [PING] Request timed out.
2022-07-05 10:40:09.266:   [PING] Request timed out.
2022-07-05 10:40:14.255:   [PING] Request timed out.
2022-07-05 10:40:19.257:   [PING] Request timed out.
2022-07-05 10:40:24.255:   [PING] Request timed out.
2022-07-05 10:40:29.264:   [PING] Request timed out.
2022-07-05 10:40:30.281:   [PING] Reply from 192.168.0.0: bytes=32 time=2ms TTL=64
2022-07-05 10:40:30.282:   ****************************************************
2022-07-05 10:40:30.282:   Limit type: "BOOL"
2022-07-05 10:40:30.283:   Uper limit: ""
2022-07-05 10:40:30.283:   Lowet limit: ""
2022-07-05 10:40:30.283:   Test Value: "passed"
2022-07-05 10:40:30.284:   Item name: DUT_PING
2022-07-05 10:40:30.285:   ****************************************************
2022-07-05 10:40:30.287:   TIME[45.008 s] - STATUS[PASSED]
