2022-07-14 09:14:25.916:   ITEM[power_cycle] - FUNCTION[PowerSwitchProxy]
2022-07-14 09:14:25.917:   Turn 0:
2022-07-14 09:14:25.918:   [CONFIG] host: 192.168.1.10
2022-07-14 09:14:25.918:   [CONFIG] user: admin
2022-07-14 09:14:25.918:   [CONFIG] passWord: 1234
2022-07-14 09:14:25.918:   [CONFIG] Times: 10
2022-07-14 09:14:25.918:   [CONFIG] index of switch: 1
2022-07-14 09:14:25.918:   [CONFIG] Delay time: 5 s
2022-07-14 09:14:25.924:   cycle Times: 1 - 10
2022-07-14 09:14:26.057:   [POWER_SWITCH] http://192.168.1.10/outlet?1=OFF
2022-07-14 09:14:26.057:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:14:31.207:   [POWER_SWITCH] http://192.168.1.10/outlet?1=ON
2022-07-14 09:14:31.207:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:14:36.217:   cycle Times: 2 - 10
2022-07-14 09:14:36.346:   [POWER_SWITCH] http://192.168.1.10/outlet?1=OFF
2022-07-14 09:14:36.346:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:14:41.491:   [POWER_SWITCH] http://192.168.1.10/outlet?1=ON
2022-07-14 09:14:41.491:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:14:46.502:   cycle Times: 3 - 10
2022-07-14 09:14:46.641:   [POWER_SWITCH] http://192.168.1.10/outlet?1=OFF
2022-07-14 09:14:46.641:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:14:51.781:   [POWER_SWITCH] http://192.168.1.10/outlet?1=ON
2022-07-14 09:14:51.781:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:14:56.795:   cycle Times: 4 - 10
2022-07-14 09:14:56.920:   [POWER_SWITCH] http://192.168.1.10/outlet?1=OFF
2022-07-14 09:14:56.920:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:15:02.083:   [POWER_SWITCH] http://192.168.1.10/outlet?1=ON
2022-07-14 09:15:02.083:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:15:07.098:   cycle Times: 5 - 10
2022-07-14 09:15:07.274:   [POWER_SWITCH] http://192.168.1.10/outlet?1=OFF
2022-07-14 09:15:07.274:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:15:12.429:   [POWER_SWITCH] http://192.168.1.10/outlet?1=ON
2022-07-14 09:15:12.429:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:15:17.442:   cycle Times: 6 - 10
2022-07-14 09:15:17.564:   [POWER_SWITCH] http://192.168.1.10/outlet?1=OFF
2022-07-14 09:15:17.564:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:15:22.705:   [POWER_SWITCH] http://192.168.1.10/outlet?1=ON
2022-07-14 09:15:22.705:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:15:27.714:   cycle Times: 7 - 10
2022-07-14 09:15:27.841:   [POWER_SWITCH] http://192.168.1.10/outlet?1=OFF
2022-07-14 09:15:27.841:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:15:32.971:   [POWER_SWITCH] http://192.168.1.10/outlet?1=ON
2022-07-14 09:15:32.971:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:15:37.984:   cycle Times: 8 - 10
2022-07-14 09:15:38.109:   [POWER_SWITCH] http://192.168.1.10/outlet?1=OFF
2022-07-14 09:15:38.109:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:15:43.245:   [POWER_SWITCH] http://192.168.1.10/outlet?1=ON
2022-07-14 09:15:43.245:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:15:48.261:   cycle Times: 9 - 10
2022-07-14 09:15:48.389:   [POWER_SWITCH] http://192.168.1.10/outlet?1=OFF
2022-07-14 09:15:48.389:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:15:53.525:   [POWER_SWITCH] http://192.168.1.10/outlet?1=ON
2022-07-14 09:15:53.525:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:15:58.536:   cycle Times: 10 - 10
2022-07-14 09:15:58.661:   [POWER_SWITCH] http://192.168.1.10/outlet?1=OFF
2022-07-14 09:15:58.661:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:16:03.808:   [POWER_SWITCH] http://192.168.1.10/outlet?1=ON
2022-07-14 09:16:03.809:   [POWER_SWITCH] HTTP/1.1 200 OK
2022-07-14 09:16:08.824:   ****************************************************
2022-07-14 09:16:08.824:   Limit type: "BOOL"
2022-07-14 09:16:08.824:   Uper limit: ""
2022-07-14 09:16:08.824:   Lowet limit: ""
2022-07-14 09:16:08.824:   Test Value: "passed"
2022-07-14 09:16:08.824:   Item name: POWER_CYCLE
2022-07-14 09:16:08.824:   ****************************************************
2022-07-14 09:16:08.825:   TIME[102.908 s] - STATUS[PASSED]
