2022-07-13 08:57:50.295:   ITEM[ram_stress] - FUNCTION[RamStressProxy]
2022-07-13 08:57:50.297:   Turn 0:
2022-07-13 08:57:50.297:   Get IP from the DHCP with MAC is "649714048d60"
2022-07-13 08:57:50.297:   IP: 172.168.1.0
2022-07-13 08:57:50.297:   [Telnet] Read input: ReadStreamOverTime
2022-07-13 08:57:50.297:   [Telnet] Connect to host: 172.168.1.0
2022-07-13 08:57:50.297:   [Telnet] Port is: 23
2022-07-13 08:57:50.297:   [Cmd] ------------------------------------
2022-07-13 08:57:50.297:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-13 08:57:50.335:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-13 08:57:50.336:   [Cmd] Reply from 172.168.1.0: bytes=32 time<1ms TTL=64
2022-07-13 08:57:50.336:   [Cmd] 
2022-07-13 08:57:50.336:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-13 08:57:50.336:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2022-07-13 08:57:50.336:   [Cmd] Approximate round trip times in milli-seconds:
2022-07-13 08:57:50.336:   [Cmd] Minimum = 0ms, Maximum = 0ms, Average = 0ms
2022-07-13 08:57:50.336:   [Cmd] ------------------------------------
2022-07-13 08:57:50.664:   [Telnet] 
2022-07-13 08:57:50.664:   [Telnet] === IMPORTANT ============================
2022-07-13 08:57:50.664:   [Telnet] Use 'passwd' to set your login password!
2022-07-13 08:57:50.664:   [Telnet] ------------------------------------------
2022-07-13 08:57:50.664:   [Telnet] 
2022-07-13 08:57:50.664:   [Telnet] 
2022-07-13 08:57:50.664:   [Telnet] BusyBox v1.30.1 () built-in shell (ash)
2022-07-13 08:57:50.664:   [Telnet] 
2022-07-13 08:57:50.664:   [Telnet] MM           NM                    MMMMMMM          M       M
2022-07-13 08:57:50.664:   [Telnet] $MMMMM        MMMMM                MMMMMMMMMMM      MMM     MMM
2022-07-13 08:57:50.664:   [Telnet] MMMMMMMM     MM MMMMM.              MMMMM:MMMMMM:   MMMM   MMMMM
2022-07-13 08:57:50.664:   [Telnet] MMMM= MMMMMM  MMM   MMMM       MMMMM   MMMM  MMMMMM   MMMM  MMMMM'
2022-07-13 08:57:50.665:   [Telnet] MMMM=  MMMMM MMMM    MM       MMMMM    MMMM    MMMM   MMMMNMMMMM
2022-07-13 08:57:50.665:   [Telnet] MMMM=   MMMM  MMMMM          MMMMM     MMMM    MMMM   MMMMMMMM
2022-07-13 08:57:50.665:   [Telnet] MMMM=   MMMM   MMMMMM       MMMMM      MMMM    MMMM   MMMMMMMMM
