2022-07-20 07:00:07.444:   ITEM[ram_stress] - FUNCTION[TelnetReadUntilKeyProxy]
2022-07-20 07:00:07.445:   Turn 0:
2022-07-20 07:00:07.445:   Get IP from the DHCP with MAC is "649714048d60"
2022-07-20 07:00:07.446:   IP: 172.168.1.0
2022-07-20 07:00:07.446:   [Telnet] Read input: ReadStreamOverTime
2022-07-20 07:00:07.446:   [Telnet] Connect to host: 172.168.1.0
2022-07-20 07:00:07.446:   [Telnet] Port is: 23
2022-07-20 07:00:07.446:   [Cmd] ------------------------------------
2022-07-20 07:00:07.446:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-20 07:00:07.509:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-20 07:00:07.509:   [Cmd] Reply from 172.168.1.0: bytes=32 time<1ms TTL=64
2022-07-20 07:00:07.509:   [Cmd] 
2022-07-20 07:00:07.509:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-20 07:00:07.509:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2022-07-20 07:00:07.509:   [Cmd] Approximate round trip times in milli-seconds:
2022-07-20 07:00:07.509:   [Cmd] Minimum = 0ms, Maximum = 0ms, Average = 0ms
2022-07-20 07:00:07.509:   [Cmd] ------------------------------------
2022-07-20 07:00:07.844:   [Telnet] 
2022-07-20 07:00:07.844:   [Telnet] === IMPORTANT ============================
2022-07-20 07:00:07.844:   [Telnet] Use 'passwd' to set your login password!
2022-07-20 07:00:07.844:   [Telnet] ------------------------------------------
2022-07-20 07:00:07.844:   [Telnet] 
2022-07-20 07:00:07.844:   [Telnet] 
2022-07-20 07:00:07.844:   [Telnet] BusyBox v1.30.1 () built-in shell (ash)
2022-07-20 07:00:07.844:   [Telnet] 
2022-07-20 07:00:07.844:   [Telnet] MM           NM                    MMMMMMM          M       M
2022-07-20 07:00:07.844:   [Telnet] $MMMMM        MMMMM                MMMMMMMMMMM      MMM     MMM
2022-07-20 07:00:07.844:   [Telnet] MMMMMMMM     MM MMMMM.              MMMMM:MMMMMM:   MMMM   MMMMM
2022-07-20 07:00:07.844:   [Telnet] MMMM= MMMMMM  MMM   MMMM       MMMMM   MMMM  MMMMMM   MMMM  MMMMM'
2022-07-20 07:00:07.844:   [Telnet] MMMM=  MMMMM MMMM    MM       MMMMM    MMMM    MMMM   MMMMNMMMMM
2022-07-20 07:00:07.844:   [Telnet] MMMM=   MMMM  MMMMM          MMMMM     MMMM    MMMM   MMMMMMMM
2022-07-20 07:00:07.844:   [Telnet] MMMM=   MMMM   MMMMMM       MMMMM      MMMM    MMMM   MMMMMMMMM
2022-07-20 07:00:07.844:   [Telnet] MMMM=   MMMM     MMMMM,    NMMMMMMMM   MMMM    MMMM   MMMMMMMMMMM
2022-07-20 07:00:07.844:   [Telnet] MMMM=   MMMM      MMMMMM   MMMMMMMM    MMMM    MMMM   MMMM  MMMMMM
2022-07-20 07:00:07.845:   [Telnet] MMMM=   MMMM   MM    MMMM    MMMM      MMMM    MMMM   MMMM    MMMM
2022-07-20 07:00:07.845:   [Telnet] MMMM$ ,MMMMM  MMMMM  MMMM    MMM       MMMM   MMMMM   MMMM    MMMM
2022-07-20 07:00:07.845:   [Telnet] MMMMMMM:      MMMMMMM     M         MMMMMMMMMMMM  MMMMMMM MMMMMMM
2022-07-20 07:00:07.845:   [Telnet] MMMMMM       MMMMN     M           MMMMMMMMM      MMMM    MMMM
2022-07-20 07:00:07.845:   [Telnet] MMMM          M                    MMMMMMM        M       M
2022-07-20 07:00:07.845:   [Telnet] M
2022-07-20 07:00:07.845:   [Telnet] ---------------------------------------------------------------
2022-07-20 07:00:07.845:   [Telnet] For those about to rock... (Chaos Calmer, unknown)
2022-07-20 07:00:07.845:   [Telnet] ---------------------------------------------------------------
2022-07-20 07:00:07.845:   [Telnet] root@eero-test:/#
2022-07-20 07:00:07.850:   [Config] Waiting for about1000 s
2022-07-20 07:00:07.850:   [Telnet] Send command: stressapptest -s 600 -M 300 -m 5 -C 5 -W -l test_ddr_01.log
2022-07-20 07:12:04.129:   [Telnet] stressapptest -s 600 -M 300 -m 5 -C 5 -W -l test_ddr_01.log
2022-07-20 07:12:04.129:   [Telnet] 2021/11/18-05:53:49(UTC) Log: Commandline - stressapptest -s 600 -M 300 -m 5 -C 5 -W -l test_ddr_01.log
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:53:49(UTC) Stats: SAT revision 1.0.7_autoconf, 32 bit binary
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:53:49(UTC) Log: adrian @ ubuntu-16-RD on Thu Nov 18 12:07:07 CST 2021 from open source release
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:53:49(UTC) Log: 1 nodes, 2 cpus.
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:53:49(UTC) Log: Flooring memory allocation to multiple of 4: 300MB
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:53:49(UTC) Log: Prefer plain malloc memory allocation.
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:53:49(UTC) Log: Using mmap() allocation at 0x641b7000.
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:53:49(UTC) Stats: Starting SAT, 300M, 600 seconds
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:53:50(UTC) Log: Region mask: 0x1
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:54:00(UTC) Log: Seconds remaining: 590
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:54:10(UTC) Log: Seconds remaining: 580
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:54:20(UTC) Log: Seconds remaining: 570
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:54:30(UTC) Log: Seconds remaining: 560
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:54:40(UTC) Log: Seconds remaining: 550
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:54:50(UTC) Log: Seconds remaining: 540
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:55:00(UTC) Log: Seconds remaining: 530
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:55:10(UTC) Log: Seconds remaining: 520
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:55:20(UTC) Log: Seconds remaining: 510
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:55:30(UTC) Log: Seconds remaining: 500
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:55:40(UTC) Log: Seconds remaining: 490
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:55:50(UTC) Log: Seconds remaining: 480
