2022-07-05 02:00:53.194:   ITEM[wps_ok] - FUNCTION[PowerSwitchProxy]
2022-07-05 02:00:53.195:   Turn 0:
2022-07-05 02:00:53.196:   [CONFIG] host: 192.168.0.10
2022-07-05 02:00:53.196:   [CONFIG] user: admin
2022-07-05 02:00:53.197:   [CONFIG] passWord: 1234
2022-07-05 02:00:53.388:   cycleTime: 1 - 10
2022-07-05 02:00:53.679:   [POWER_SWITCH] http://192.168.0.10/outlet?1=OFF
2022-07-05 02:00:53.680:   HTTP/1.1 200 OK
2022-07-05 02:00:55.875:   [POWER_SWITCH] http://192.168.0.10/outlet?1=ON
2022-07-05 02:00:55.875:   HTTP/1.1 200 OK
2022-07-05 02:00:57.885:   cycleTime: 2 - 10
2022-07-05 02:00:58.110:   [POWER_SWITCH] http://192.168.0.10/outlet?1=OFF
2022-07-05 02:00:58.110:   HTTP/1.1 200 OK
2022-07-05 02:01:00.317:   [POWER_SWITCH] http://192.168.0.10/outlet?1=ON
2022-07-05 02:01:00.317:   HTTP/1.1 200 OK
2022-07-05 02:01:02.325:   cycleTime: 3 - 10
2022-07-05 02:01:02.617:   [POWER_SWITCH] http://192.168.0.10/outlet?1=OFF
2022-07-05 02:01:02.617:   HTTP/1.1 200 OK
2022-07-05 02:01:04.814:   [POWER_SWITCH] http://192.168.0.10/outlet?1=ON
2022-07-05 02:01:04.814:   HTTP/1.1 200 OK
2022-07-05 02:01:06.831:   cycleTime: 4 - 10
2022-07-05 02:01:07.053:   [POWER_SWITCH] http://192.168.0.10/outlet?1=OFF
2022-07-05 02:01:07.053:   HTTP/1.1 200 OK
2022-07-05 02:01:09.263:   [POWER_SWITCH] http://192.168.0.10/outlet?1=ON
2022-07-05 02:01:09.263:   HTTP/1.1 200 OK
2022-07-05 02:01:11.280:   cycleTime: 5 - 10
2022-07-05 02:01:11.515:   [POWER_SWITCH] http://192.168.0.10/outlet?1=OFF
2022-07-05 02:01:11.515:   HTTP/1.1 200 OK
2022-07-05 02:01:13.718:   [POWER_SWITCH] http://192.168.0.10/outlet?1=ON
2022-07-05 02:01:13.718:   HTTP/1.1 200 OK
2022-07-05 02:01:15.730:   cycleTime: 6 - 10
2022-07-05 02:01:15.948:   [POWER_SWITCH] http://192.168.0.10/outlet?1=OFF
2022-07-05 02:01:15.949:   HTTP/1.1 200 OK
2022-07-05 02:01:18.148:   [POWER_SWITCH] http://192.168.0.10/outlet?1=ON
2022-07-05 02:01:18.148:   HTTP/1.1 200 OK
2022-07-05 02:01:20.162:   cycleTime: 7 - 10
2022-07-05 02:01:20.399:   [POWER_SWITCH] http://192.168.0.10/outlet?1=OFF
2022-07-05 02:01:20.399:   HTTP/1.1 200 OK
2022-07-05 02:01:22.630:   [POWER_SWITCH] http://192.168.0.10/outlet?1=ON
2022-07-05 02:01:22.630:   HTTP/1.1 200 OK
2022-07-05 02:01:24.646:   cycleTime: 8 - 10
2022-07-05 02:01:24.866:   [POWER_SWITCH] http://192.168.0.10/outlet?1=OFF
2022-07-05 02:01:24.866:   HTTP/1.1 200 OK
2022-07-05 02:01:27.069:   [POWER_SWITCH] http://192.168.0.10/outlet?1=ON
2022-07-05 02:01:27.069:   HTTP/1.1 200 OK
2022-07-05 02:01:29.086:   cycleTime: 9 - 10
2022-07-05 02:01:29.337:   [POWER_SWITCH] http://192.168.0.10/outlet?1=OFF
2022-07-05 02:01:29.337:   HTTP/1.1 200 OK
2022-07-05 02:01:31.512:   [POWER_SWITCH] http://192.168.0.10/outlet?1=ON
2022-07-05 02:01:31.512:   HTTP/1.1 200 OK
2022-07-05 02:01:33.523:   cycleTime: 10 - 10
2022-07-05 02:01:33.747:   [POWER_SWITCH] http://192.168.0.10/outlet?1=OFF
2022-07-05 02:01:33.747:   HTTP/1.1 200 OK
2022-07-05 02:01:35.925:   [POWER_SWITCH] http://192.168.0.10/outlet?1=ON
2022-07-05 02:01:35.925:   HTTP/1.1 200 OK
2022-07-05 02:01:37.941:   ****************************************************
2022-07-05 02:01:37.941:   Limit type: "BOOL"
2022-07-05 02:01:37.941:   Uper limit: ""
2022-07-05 02:01:37.941:   Lowet limit: ""
2022-07-05 02:01:37.941:   Test Value: "passed"
2022-07-05 02:01:37.941:   Item name: WPS_OK
2022-07-05 02:01:37.941:   ****************************************************
2022-07-05 02:01:37.941:   TIME[44.746 s] - STATUS[PASSED]
