2023-03-27 07:24:06.298:   ITEM[sn_ok] - FUNCTION[CheckDutInfoProxy]
2023-03-27 07:24:06.299:   Turn: 1
2023-03-27 07:24:06.299:   Get IP from the function config with key is "IP".
2023-03-27 07:24:06.299:   IP: 192.168.1.1
2023-03-27 07:24:06.325:   [PC] ReadUntil: root@eero-test:/#
2023-03-27 07:24:06.326:   [PC] Connect to ip: 192.168.1.1
2023-03-27 07:24:06.327:   [PC] Port is: 23
2023-03-27 07:24:06.328:   [PC] Ping to IP: 192.168.1.1 - 180 S
2023-03-27 07:24:06.329:   [Cmd] ------------------------------------ 1
2023-03-27 07:24:06.329:   [Cmd] Send command: arp -d
2023-03-27 07:24:06.578:   [Cmd] 
2023-03-27 07:24:06.578:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:24:10.374:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:24:10.374:   [Cmd] Request timed out.
2023-03-27 07:24:10.375:   [Cmd] 
2023-03-27 07:24:10.375:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:24:10.375:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:24:10.375:   [Cmd] ------------------------------------
2023-03-27 07:24:10.375:   [Cmd] ------------------------------------ 2
2023-03-27 07:24:10.376:   [Cmd] Send command: arp -d
2023-03-27 07:24:10.607:   [Cmd] 
2023-03-27 07:24:10.607:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:24:14.365:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:24:14.365:   [Cmd] Request timed out.
2023-03-27 07:24:14.366:   [Cmd] 
2023-03-27 07:24:14.366:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:24:14.366:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:24:14.366:   [Cmd] ------------------------------------
2023-03-27 07:24:14.366:   [Cmd] ------------------------------------ 3
2023-03-27 07:24:14.366:   [Cmd] Send command: arp -d
2023-03-27 07:24:14.597:   [Cmd] 
2023-03-27 07:24:14.598:   [Cmd] Send command: ping 192.168.1.1 -n 1
