2023-04-27 09:24:22.617:   ITEM[CheckTestConditions] - FUNCTION[CheckTestConditionsProxy]
2023-04-27 09:24:22.618:   Turn: 1
2023-04-27 09:24:22.618:   [CONFIG] hold when 2 times failed!
2023-04-27 09:24:22.618:   [PC] times failed: 2
2023-04-27 09:24:24.515:   [PC] This position has exceeded the allowable number of failed tests.
2023-04-27 09:24:24.515:   [PC] 
2023-04-27 09:24:24.515:   [PC] Vị trí này đã test fail liên tục 2 lần. Cần TE xác nhận để có thể chạy tiếp!
2023-04-27 09:24:24.515:   ****************************************************
2023-04-27 09:24:24.515:   Item name = CheckTestConditions
2023-04-27 09:24:24.516:   Value = failed
2023-04-27 09:24:24.516:   Test status = failed
2023-04-27 09:24:24.516:   -----------------------------------------------------
2023-04-27 09:24:24.516:   Error code = -1
2023-04-27 09:24:24.516:   Error des = CheckTestConditions
2023-04-27 09:24:24.516:   Local error code = TE.HOLD
2023-04-27 09:24:24.516:   Local error des = CheckTestConditions
2023-04-27 09:24:24.517:   ****************************************************
2023-04-27 09:24:24.517:   TIME[1.900 s] - STATUS[FAILED]
