2023-03-09 09:04:45.743:   ITEM[golden_file] - FUNCTION[GoldenFileProxy]
2023-03-09 09:04:45.744:   Turn: 1
2023-03-09 09:04:45.744:   [config] config/dataSource/init/golden.txt
2023-03-09 09:04:45.744:   [config] Golen file not valid!
2023-03-09 09:04:45.745:   ****************************************************
2023-03-09 09:04:45.745:   Item name = golden_file
2023-03-09 09:04:45.745:   Value = failed
2023-03-09 09:04:45.746:   Skip check spec.
2023-03-09 09:04:45.746:   Test status = failed
2023-03-09 09:04:45.746:   -----------------------------------------------------
2023-03-09 09:04:45.746:   Error code = -1
2023-03-09 09:04:45.746:   Error des = golden_file
2023-03-09 09:04:45.747:   Local error code = FIX00
2023-03-09 09:04:45.747:   Local error des = fixture_close
2023-03-09 09:04:45.747:   ****************************************************
2023-03-09 09:04:45.749:   TIME[0.004 s] - STATUS[FAILED]
