2023-04-24 04:16:36.564:   ITEM[wps_ok_5] - FUNCTION[PowerSwitchProxy]
2023-04-24 04:16:36.565:   Turn: 1
2023-04-24 04:16:36.565:   [CONFIG] host: 192.168.1.10
2023-04-24 04:16:36.565:   [CONFIG] user: admin
2023-04-24 04:16:36.565:   [CONFIG] passWord: 1234
2023-04-24 04:16:36.565:   [CONFIG] Times: 1
2023-04-24 04:16:36.565:   [CONFIG] index of switch: 1
2023-04-24 04:16:36.565:   [CONFIG] Delay time: 5 s
2023-04-24 04:16:36.565:   cycle Times: 1 - 1
2023-04-24 04:16:57.234:   This function will be stopped! Because it has timed out!
2023-04-24 04:16:57.234:   Spec: 20 S
2023-04-24 04:16:57.234:   Try to stop!!
2023-04-24 04:16:57.235:   Time: 20.670 S
2023-04-24 04:16:57.593:   [POWER_SWITCH] http://192.168.1.10/outlet?1=OFF
2023-04-24 04:16:57.595:   sleep interrupted
2023-04-24 04:16:59.249:   ****************************************************
2023-04-24 04:16:59.249:   Item name = wps_ok_5
2023-04-24 04:16:59.249:   Value = failed
2023-04-24 04:16:59.249:   Test status = failed
2023-04-24 04:16:59.249:   -----------------------------------------------------
2023-04-24 04:16:59.250:   Error code = -1
2023-04-24 04:16:59.250:   Error des = wps_ok_5
2023-04-24 04:16:59.250:   Local error code = 39.3.0
2023-04-24 04:16:59.250:   Local error des = wps_ok
2023-04-24 04:16:59.250:   ****************************************************
2023-04-24 04:16:59.250:   TIME[22.686 s] - STATUS[FAILED]
