2023-05-18 02:46:47.628:   ITEM[UpLogFTP] - FUNCTION[UpLogFTPProxy]
2023-05-18 02:46:47.629:   [PC] Turn: 1
2023-05-18 02:46:47.630:   [CONFIG] Dir elements: [data/Jupiter, golden, station_type, mode, start_day, station_name, status]
2023-05-18 02:46:47.630:   [CONFIG] Name elements: [Log/TestLog]
2023-05-18 02:46:47.630:   [CONFIG] Name elements: [mlbsn, sn, position, status, error_details, errorcode, mode, finish_time]
2023-05-18 02:46:47.631:   [CONFIG] Follow limit: false
2023-05-18 02:46:47.631:   [CONFIG] Use the limit errorcode: false
2023-05-18 02:46:47.633:   [PC] Root: mlbsn = null
2023-05-18 02:46:47.634:   [PC] -----------------------------------------
2023-05-18 02:46:47.634:   [PC] Root: sn = A
2023-05-18 02:46:47.634:   [PC] -----------------------------------------
2023-05-18 02:46:47.634:   [PC] Root: mo = null
2023-05-18 02:46:47.634:   [PC] -----------------------------------------
2023-05-18 02:46:47.634:   [PC] Root: error_details = dut_ping
2023-05-18 02:46:47.634:   [PC] -----------------------------------------
2023-05-18 02:46:47.635:   [PC] Root: status = failed
2023-05-18 02:46:47.635:   [PC] -----------------------------------------
2023-05-18 02:46:47.635:   [PC] Root: finish_time = 2023-05-18 02:46:47
2023-05-18 02:46:47.635:   [PC] -----------------------------------------
2023-05-18 02:46:47.636:   [PC] Root: test_software_version = 1.5.7
2023-05-18 02:46:47.636:   [PC] -----------------------------------------
2023-05-18 02:46:47.636:   [PC] Root: start_time = 2023-05-18 02:46:47
2023-05-18 02:46:47.636:   [PC] -----------------------------------------
2023-05-18 02:46:47.637:   [PC] Root: station_type = RUNIN
2023-05-18 02:46:47.637:   [PC] -----------------------------------------
2023-05-18 02:46:47.637:   [PC] Root: error_code = 10.1.0
2023-05-18 02:46:47.637:   [PC] -----------------------------------------
2023-05-18 02:46:47.638:   [PC] Root: errorcode = 10.1.0
2023-05-18 02:46:47.638:   [PC] -----------------------------------------
2023-05-18 02:46:47.639:   [PC] Root: errorDes = dut_ping
2023-05-18 02:46:47.639:   [PC] -----------------------------------------
2023-05-18 02:46:47.639:   [PC] Root: serial = null
2023-05-18 02:46:47.639:   [PC] -----------------------------------------
2023-05-18 02:46:47.639:   [PC] Root: mode = debug
2023-05-18 02:46:47.639:   [PC] -----------------------------------------
2023-05-18 02:46:47.641:   [PC] Root: station_name = RUNIN-7586
2023-05-18 02:46:47.641:   [PC] -----------------------------------------
2023-05-18 02:46:47.641:   [PC] Root: position = A1
2023-05-18 02:46:47.641:   [PC] -----------------------------------------
2023-05-18 02:46:47.642:   [PC] Root: cycle_time = 0.024
2023-05-18 02:46:47.642:   [PC] -----------------------------------------
2023-05-18 02:46:47.642:   [PC] Root: cyctime_final = 0.024
2023-05-18 02:46:47.642:   [PC] -----------------------------------------
2023-05-18 02:46:47.642:   [PC] Item name: dut_ping
2023-05-18 02:46:47.666:   [PC] ItemTest: dut_ping = {"start_time":"2023-05-18 02:46:47","lower_limit":"","cycle_time":"0.009","upper_limit":"","error_code":"10.1.0","units":"","errorDes":"dut_ping","test_name":"dut_ping","finish_time":"2023-05-18 02:46:47","errorcode":"10.1.0","test_value":"failed","status":"failed"}
2023-05-18 02:46:47.670:   [PC] Format for json data!
2023-05-18 02:46:47.673:   [PC] Save data in: Log/TestLog/json/mlbsn_A_A1_failed_dut_ping_10.1.0_debug_2023-05-18-02-46-47.json ok
2023-05-18 02:46:47.673:   [PC] Connect to ftp!!
2023-05-18 02:46:47.674:   [Config] User: oper
2023-05-18 02:46:47.675:   [Config] PassWord: mfg-oper
2023-05-18 02:46:47.675:   [Config] Host: 10.90.10.168
2023-05-18 02:46:47.675:   [Config] Port: 21
