2023-10-04 01:22:39.309:   ITEM[dut_ping] - FUNCTION[DutPingProxy]
2023-10-04 01:22:39.314:   [PC] Turn: 1
2023-10-04 01:22:39.315:   Get IP from the function config with key is "IP".
2023-10-04 01:22:39.315:   IP: 192.168.1.1
2023-10-04 01:22:39.315:   [PC] Ping to IP: 192.168.1.1 - 1 S
2023-10-04 01:22:39.317:   [Cmd] ------------------------------------ 1
2023-10-04 01:22:39.317:   [Cmd] Send command: arp -d
2023-10-04 01:22:39.358:   [Cmd] The ARP entry deletion failed: The requested operation requires elevation.
2023-10-04 01:22:39.359:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-10-04 01:22:40.812:   This function will be stopped! Because it has timed out!
2023-10-04 01:22:40.813:   Spec: 1 S
2023-10-04 01:22:40.813:   Try to stop!!
2023-10-04 01:22:40.813:   Time: 1.503 S
2023-10-04 01:22:42.330:   This function will be stopped! Because it has timed out!
2023-10-04 01:22:42.330:   Spec: 1 S
2023-10-04 01:22:42.331:   Try to stop!!
2023-10-04 01:22:42.331:   Time: 3.021 S
2023-10-04 01:22:43.322:   [Cmd] ------------------------------------
2023-10-04 01:22:43.323:   [PC] ping time: 4.005 S
2023-10-04 01:22:44.346:   ****************************************************
2023-10-04 01:22:44.346:   Item name = dut_ping
2023-10-04 01:22:44.347:   Value = failed
2023-10-04 01:22:44.347:   Test status = failed
2023-10-04 01:22:44.347:   -----------------------------------------------------
2023-10-04 01:22:44.348:   Error code = -1
2023-10-04 01:22:44.348:   Error des = dut_ping
2023-10-04 01:22:44.348:   Local error code = DUT.PING
2023-10-04 01:22:44.348:   Local error des = dut_ping
2023-10-04 01:22:44.348:   ****************************************************
2023-10-04 01:22:44.349:   TIME[5.039 s] - STATUS[FAILED]
