2023-02-22 04:29:30.888:   ITEM[mac] - FUNCTION[GetMacFormSfisProxy]
2023-02-22 04:29:30.889:   Turn: 1
2023-02-22 04:29:30.889:   Get mac= D4:3F:32:F4:D5:40
2023-02-22 04:29:30.889:   MAC range 100000000000-ffffffffffff
2023-02-22 04:29:30.890:   ****************************************************
2023-02-22 04:29:30.890:   Item name = mac
2023-02-22 04:29:30.890:   Value = D4:3F:32:F4:D5:40
2023-02-22 04:29:30.890:   Test status = passed
2023-02-22 04:29:30.890:   -----------------------------------------------------
2023-02-22 04:29:30.891:   ****************************************************
2023-02-22 04:29:30.891:   TIME[0.003 s] - STATUS[PASSED]
