2023-10-28 06:43:24.656:   ITEM[verify_cct_0] - FUNCTION[TelnetReadUntilKeyProxy]
2023-10-28 06:43:24.657:   [PC] Turn: 1
2023-10-28 06:43:24.657:   [COMPORT] comport: COM3 -- baudrate: 115200
2023-10-28 06:43:24.657:   [ComPort] Connect to: COM3
2023-10-28 06:43:24.657:   [ComPort] BaudRate is: 115200
2023-10-28 06:43:24.689:   [ComPort] Connect COM3 ok
2023-10-28 06:43:24.689:   [Config] Waiting for about 100 s
2023-10-28 06:43:24.690:   [ComPort] Send command:
2023-10-28 06:43:24.690:   [Config] Time: 100.0
2023-10-28 06:43:24.690:   [Config] ReadUntil: IPv6: ADDRCONF(NETDEV_CHANGE): ec_sta1: link becomes ready
2023-10-28 06:43:24.795:   [ComPort] 0
2023-10-28 06:43:24.795:   [ComPort] IPQ5018#
2023-10-28 06:43:24.795:   [ComPort] IPQ5018#
2023-10-28 06:43:24.796:   [ComPort] IPQ5018#
2023-10-28 06:45:04.714:   [ComPort] IPQ5018#
2023-10-28 06:45:04.714:   [PC] Response no content spec
2023-10-28 06:45:04.715:   [CONFIG] Spec: "IPv6: ADDRCONF(NETDEV_CHANGE): ec_sta1: link becomes ready"
2023-10-28 06:45:04.838:   ****************************************************
2023-10-28 06:45:04.838:   Item name = verify_cct_0
2023-10-28 06:45:04.838:   Value = failed
2023-10-28 06:45:04.839:   Test status = failed
2023-10-28 06:45:04.839:   -----------------------------------------------------
2023-10-28 06:45:04.839:   Error code = -1
2023-10-28 06:45:04.839:   Error des = verify_cct_0
2023-10-28 06:45:04.839:   Local error code = verify00
2023-10-28 06:45:04.839:   Local error des = verify_cct
2023-10-28 06:45:04.839:   ****************************************************
2023-10-28 06:45:04.840:   TIME[100.183 s] - STATUS[FAILED]
