===================================================================
Start at = 2023-06-13 04:29:26
End test at = 2023-06-13 04:29:26
Status = passed
Version = 1.5.7
Test time = 0.236 s
Final test time = 0.269 s
Station = RUNIN-7586
Localtion = 
HHSN = RYK01Q6
DEVICESN = null
===================================================================
//////////////////////////- ID[0] -//////////////////////////
2023-06-13 04:29:26.639:   ITEM[SocketCheck] - FUNCTION[SocketCheckProxy]
2023-06-13 04:29:26.643:   [PC] Turn: 1
2023-06-13 04:29:26.643:   [CONFIG] connect to socket server: localhost - 60026
2023-06-13 04:29:26.643:   [CONFIG] timeout: 10
2023-06-13 04:29:26.645:   [PC] send to server: {"action":"test"}
2023-06-13 04:29:26.646:   [Socket] {"mode":"test","data":[{"area":"0/1127/999999","label":"e","percent":"95/89%s","status":true},{"area":"0/26734/999999","label":"e","percent":"96/90%s","status":true},{"area":"0/16840/99999","label":"r","percent":"96/81%s","status":true},{"area":"0/28237/999999","label":"o","percent":"93/86%s","status":true},{"area":"0/145270/999999","label":"label","percent":"93/82%s","status":true}],"status":true}
2023-06-13 04:29:26.757:   [PC] Detect model passed!
2023-06-13 04:29:26.758:   [CONFIG] Name elements: [../ImageLog/, start_day]
2023-06-13 04:29:26.758:   [CONFIG] Name elements: [mlbsn, sn, pass, mode]
2023-06-13 04:29:26.758:   [CONFIG] image log: ../ImageLog/_2023-06-13/mlbsn_RYK01Q6_pass_debug.jpg
2023-06-13 04:29:26.758:   [PC] send to server: {"name":"mlbsn_RYK01Q6_pass_debug.jpg","action":"save","dir":"../ImageLog/_2023-06-13"}
2023-06-13 04:29:26.767:   [Socket] {"message":"../ImageLog/_2023-06-13/mlbsn_RYK01Q6_pass_debug.jpg","status":true}
2023-06-13 04:29:26.866:   [PC] save image ok
2023-06-13 04:29:26.869:   ****************************************************
2023-06-13 04:29:26.869:   Item name = SocketCheck
2023-06-13 04:29:26.869:   Value = passed
2023-06-13 04:29:26.869:   Test status = passed
2023-06-13 04:29:26.869:   -----------------------------------------------------
2023-06-13 04:29:26.869:   ****************************************************
2023-06-13 04:29:26.870:   TIME[0.229 s] - STATUS[PASSED]
//////////////////////////////////////////////////////////////
//////////////////////////- ID[1] -//////////////////////////
2023-06-13 04:29:26.872:   ITEM[UpLogFTP] - FUNCTION[UpLogFTPProxy]
2023-06-13 04:29:26.873:   [PC] Turn: 1
2023-06-13 04:29:26.873:   [CONFIG] Dir elements: [data/Trieste, pnname, station_type, mode, start_day, station_name, status]
2023-06-13 04:29:26.873:   [CONFIG] Name elements: [Log/TestLog]
2023-06-13 04:29:26.873:   [CONFIG] Name elements: [mlbsn, sn, position, status, mode, finish_time]
2023-06-13 04:29:26.873:   [CONFIG] Follow limit: false
2023-06-13 04:29:26.873:   [CONFIG] Use the limit errorcode: true
2023-06-13 04:29:26.874:   [PC] Root: mlbsn = null
2023-06-13 04:29:26.874:   [PC] -----------------------------------------
2023-06-13 04:29:26.874:   [PC] Root: sn = RYK01Q6
2023-06-13 04:29:26.874:   [PC] -----------------------------------------
2023-06-13 04:29:26.874:   [PC] Root: mo = null
2023-06-13 04:29:26.874:   [PC] -----------------------------------------
2023-06-13 04:29:26.874:   [PC] Root: error_details = null
2023-06-13 04:29:26.874:   [PC] -----------------------------------------
2023-06-13 04:29:26.875:   [PC] Root: status = passed
2023-06-13 04:29:26.875:   [PC] -----------------------------------------
2023-06-13 04:29:26.875:   [PC] Root: finish_time = 2023-06-13 04:29:26
2023-06-13 04:29:26.875:   [PC] -----------------------------------------
2023-06-13 04:29:26.875:   [PC] Root: test_software_version = 1.5.7
2023-06-13 04:29:26.875:   [PC] -----------------------------------------
2023-06-13 04:29:26.875:   [PC] Root: start_time = 2023-06-13 04:29:26
2023-06-13 04:29:26.875:   [PC] -----------------------------------------
2023-06-13 04:29:26.875:   [PC] Root: station_type = CCD
2023-06-13 04:29:26.875:   [PC] -----------------------------------------
2023-06-13 04:29:26.875:   [PC] Root: error_code = null
2023-06-13 04:29:26.875:   [PC] -----------------------------------------
2023-06-13 04:29:26.875:   [PC] Root: errorcode = null
2023-06-13 04:29:26.876:   [PC] -----------------------------------------
2023-06-13 04:29:26.876:   [PC] Root: errorDes = null
2023-06-13 04:29:26.876:   [PC] -----------------------------------------
2023-06-13 04:29:26.876:   [PC] Root: serial = null
2023-06-13 04:29:26.876:   [PC] -----------------------------------------
2023-06-13 04:29:26.876:   [PC] Root: mode = debug
2023-06-13 04:29:26.876:   [PC] -----------------------------------------
2023-06-13 04:29:26.876:   [PC] Root: station_name = RUNIN-7586
2023-06-13 04:29:26.876:   [PC] -----------------------------------------
2023-06-13 04:29:26.876:   [PC] Root: position =
2023-06-13 04:29:26.876:   [PC] -----------------------------------------
2023-06-13 04:29:26.876:   [PC] Root: cycle_time = 0.236
2023-06-13 04:29:26.877:   [PC] -----------------------------------------
2023-06-13 04:29:26.877:   [PC] Root: cyctime_final = 0.236
2023-06-13 04:29:26.877:   [PC] -----------------------------------------
2023-06-13 04:29:26.877:   [PC] Item name: SocketCheck
2023-06-13 04:29:26.877:   [PC] ItemTest: SocketCheck = {"start_time":"2023-06-13 04:29:26","lower_limit":"","cycle_time":"0.229","upper_limit":"","error_code":"","units":"","errorDes":"","test_name":"SocketCheck","finish_time":"2023-06-13 04:29:26","errorcode":"","test_value":"passed","status":"passed"}
2023-06-13 04:29:26.877:   [PC] Format for json data!
2023-06-13 04:29:26.878:   [PC] Save data in: Log/TestLog/json/mlbsn_RYK01Q6__passed_debug_2023-06-13-04-29-26.json ok
2023-06-13 04:29:26.878:   [PC] Connect to ftp!!
2023-06-13 04:29:26.878:   [Config] User: oper
2023-06-13 04:29:26.878:   [Config] PassWord: mfg-oper
2023-06-13 04:29:26.878:   [Config] Host: 10.90.100.168
2023-06-13 04:29:26.878:   [Config] Port: 21
2023-06-13 04:29:26.881:   [PC] Connect to ftp ok!!
2023-06-13 04:29:26.882:   [Config] Local: Log\TestLog\json\mlbsn_RYK01Q6__passed_debug_2023-06-13-04-29-26.json
2023-06-13 04:29:26.882:   [Config] Ftp: data/Trieste/pnname/CCD/debug/2023-06-13/RUNIN-7586/passed/json/mlbsn_RYK01Q6__passed_debug_2023-06-13-04-29-26.json
2023-06-13 04:29:26.901:   [PC] Up file to FTP done!
2023-06-13 04:29:26.902:   ________________________________________________________
2023-06-13 04:29:26.902:   Save file txt!
2023-06-13 04:29:26.902:   [DIR] Log/TestLog/text/mlbsn_RYK01Q6__passed_debug_2023-06-13-04-29-26.txt
2023-06-13 04:29:26.903:   [PC] - add item: SocketCheck
2023-06-13 04:29:26.911:   [PC] - add item: UpLogFTP
//////////////////////////////////////////////////////////////
