1.1.1,wifi_remove_tooLow
1.1.2,wifi_remove_tooHigh
1.2.1,wifi_set_tooLow
1.2.2,wifi_set_tooHigh
1.2.3,wifi_check
10.0.0,dut
10.1.0,dut_ping
10.1.1,dut_ping_tooLow
10.1.2,dut_ping_tooHigh
10.2.0,dut_telnet
10.2.1,dut_telnet_tooLow
10.2.2,dut_telnet_tooHigh
11.0.0,emmc
11.1.0,emmc_badblocks
11.1.1,emmc_badblocks_tooLow
11.1.2,emmc_badblocks_tooHigh
11.2.0,emmc_speed
11.2.1,emmc_speed_read
11.2.1.1,emmc_speed_read_tooLow
11.2.1.2,emmc_speed_read_tooHigh
11.2.2,emmc_speed_write
11.2.2.1,emmc_speed_write_tooLow
11.2.2.2,emmc_speed_write_tooHigh
12.0.0,eth0
12.1.0,eth0_ping
12.1.1,eth0_ping_tooLow
12.1.2,eth0_ping_tooHigh
12.2.0,eth0_speed
12.2.1,eth0_speed_rx
12.2.1.1,eth0_speed_rx_tooLow
12.2.1.2,eth0_speed_rx_tooHigh
12.2.2,eth0_speed_tx
12.2.2.1,eth0_speed_tx_tooLow
12.2.2.2,eth0_speed_tx_tooHigh
12.2.3,eth0_speed_valid
12.2.3.1,eth0_speed_valid_tooLow
12.2.3.2,eth0_speed_valid_tooHigh
13.0.0,eth1
13.1.0,eth1_ping
13.1.1,eth1_ping_tooLow
13.1.2,eth1_ping_tooHigh
13.2.0,eth1_speed
13.2.1,eth1_speed_rx
13.2.1.1,eth1_speed_rx_tooLow
13.2.1.2,eth1_speed_rx_tooHigh
13.2.2,eth1_speed_tx
13.2.2.1,eth1_speed_tx_tooLow
13.2.2.2,eth1_speed_tx_tooHigh
13.2.3,eth1_speed_valid
13.2.3.1,eth1_speed_valid_tooLow
13.2.3.2,eth1_speed_valid_tooHigh
13.2.3.4,eth_start
14.0.0,fixture
14.1.0,fixture_close
14.1.1,fixture_close_tooLow
14.1.2,fixture_close_tooHigh
15.0.0,gen
15.1.0,gen_node
15.1.1,gen_node_tooLow
15.1.2,gen_node_tooHigh
16.0.0,i
16.2.0,i_ubootidle
16.2.1,i_ubootidle_tooLow
16.2.2,i_ubootidle_tooHigh
16.3.0,i_wifi
16.3.1,i_wifi_tooLow
16.3.2,i_wifi_tooHigh
16.T524.0,i_tp524
16.T524.1,i_tp524_vdd
16.T524.1.1,i_tp524_vdd_3v3
16.T524.1.1.1,i_tp524_vdd_3v3_openshort(Login_uboot)
16.T524.1.1.1.1,i_tp524_vdd_3v3_openshort_tooLow
16.T524.1.1.1.2,i_tp524_vdd_3v3_openshort_tooHigh
16.T524.2,openshort
16.T524.3,v_tp25_usbc_vbus
17.0.0,iqxel
17.1.0,iqxel_model
17.1.1,iqxel_model_tooLow
17.1.2,iqxel_model_tooHigh
17.2.0,iqxel_sn
17.2.1,iqxel_sn_tooLow
17.2.2,iqxel_sn_tooHigh
18.0.0,led
18.1.0,led_b
18.1.1,led_b_b
18.1.1.1,led_b_b_tooLow
18.1.1.2,led_b_b_tooHigh
18.1.2,led_b_g
18.1.2.1,led_b_g_tooLow
18.1.2.2,led_b_g_tooHigh
18.1.3,led_b_lum
18.1.3.1,led_b_lum_tooLow
18.1.3.2,led_b_lum_tooHigh
18.1.4,led_b_r
18.1.4.1,led_b_r_tooLow
18.1.4.2,led_b_r_tooHigh
18.1.5,led_b_x
18.1.5.1,led_b_x_tooLow
18.1.5.2,led_b_x_tooHigh
18.1.6,led_b_y
18.1.6.1,led_b_y_tooLow
18.1.6.2,led_b_y_tooHigh
18.2.0,led_g
18.2.1,led_g_b
18.2.1.1,led_g_b_tooLow
18.2.1.2,led_g_b_tooHigh
18.2.2,led_g_g
18.2.2.1,led_g_g_tooLow
18.2.2.2,led_g_g_tooHigh
18.2.3,led_g_lum
18.2.3.1,led_g_lum_tooLow
18.2.3.2,led_g_lum_tooHigh
18.2.4,led_g_r
18.2.4.1,led_g_r_tooLow
18.2.4.2,led_g_r_tooHigh
18.2.5,led_g_x
18.2.5.1,led_g_x_tooLow
18.2.5.2,led_g_x_tooHigh
18.2.6,led_g_y
18.2.6.1,led_g_y_tooLow
18.2.6.2,led_g_y_tooHigh
18.3.0,led_model
18.3.1,led_model_tooLow
18.3.2,led_model_tooHigh
