1,ap
1.1,ap_bringup
1.1.1,ap_bringup_tooLow
1.1.2,ap_bringup_tooHigh
2,ble
2.1,ble_ok
2.1.1,ble_ok_tooLow
2.1.2,ble_ok_tooHigh
2.2,ble_rx
2.2.1,ble_rx_per
2.2.1.2402,ble_rx_per_f2402
2.2.1.2402.85,ble_rx_per_f2402_p-85
2.2.1.2402.85.1,ble_rx_per_f2402_p-85_tooLow
2.2.1.2402.85.2,ble_rx_per_f2402_p-85_tooHigh
2.3,ble_start
2.3.1,ble_start_tooLow
2.3.2,ble_start_tooHigh
2.4,ble_test
2.4.1,ble_test_instrument
2.4.1.1,ble_test_instrument_ok
2.4.1.1.1,ble_test_instrument_ok_tooLow
2.4.1.1.2,ble_test_instrument_ok_tooHigh
2.5,ble_tx
2.5.1,ble_tx_power
2.5.1.2402,ble_tx_power_f2402
2.5.1.2402.1,ble_tx_power_f2402_tooLow
2.5.1.2402.2,ble_tx_power_f2402_tooHigh
3,boot
3.1,boot_setup
3.1.1,boot_setup_tooLow
3.1.2,boot_setup_tooHigh
4,bt
4.1,bt_comm
4.1.1,bt_comm_tooLow
4.1.2,bt_comm_tooHigh
5,but
5.1,but_ping
5.1.1,but_ping_tooLow
5.1.2,but_ping_tooHigh
6,button
6.1,button_tooLow
6.2,button_tooHigh
7,bzt
7.1,bzt_bootloader
7.1.1,bzt_bootloader_version
7.1.1.1,bzt_bootloader_version_tooLow
7.1.1.2,bzt_bootloader_version_tooHigh
8,cal
8.1,cal_ok
8.1.1,cal_ok_tooLow
8.1.2,cal_ok_tooHigh
9,ccg
9.1,ccg_fw
9.1.1,ccg_fw_tooLow
9.1.2,ccg_fw_tooHigh
9.2,ccg_model
9.2.1,ccg_model_tooLow
9.2.2,ccg_model_tooHigh
10,cpu
10.1,cpu_stress
10.1.1,cpu_stress_tooLow
10.1.2,cpu_stress_tooHigh
11,dut
11.1,dut_boot
11.1.1,dut_boot_tooLow
11.1.2,dut_boot_tooHigh
11.2,dut_ping
11.2.1,dut_ping_tooLow
11.2.2,dut_ping_tooHigh
11.3,dut_telnet
11.3.1,dut_telnet_tooLow
11.3.2,dut_telnet_tooHigh
12,emmc
12.1,emmc_badblocks
12.1.1,emmc_badblocks_tooLow
12.1.2,emmc_badblocks_tooHigh
12.2,emmc_speed
12.2.1,emmc_speed_read
12.2.1.1,emmc_speed_read_tooLow
12.2.1.2,emmc_speed_read_tooHigh
12.2.2,emmc_speed_write
12.2.2.1,emmc_speed_write_tooLow
12.2.2.2,emmc_speed_write_tooHigh
13,eth0
13.1,eth0_ping
13.1.1,eth0_ping_tooLow
13.1.2,eth0_ping_tooHigh
13.2,eth0_speed
13.2.1,eth0_speed_rx
13.2.1.1,eth0_speed_rx_tooLow
13.2.1.2,eth0_speed_rx_tooHigh
13.2.2,eth0_speed_tx
13.2.2.1,eth0_speed_tx_tooLow
13.2.2.2,eth0_speed_tx_tooHigh
13.2.3,eth0_speed_valid
13.2.3.1,eth0_speed_valid_tooLow
13.2.3.2,eth0_speed_valid_tooHigh
14,eth1
14.1,eth1_ping
14.1.1,eth1_ping_tooLow
14.1.2,eth1_ping_tooHigh
14.2,eth1_speed
14.2.1,eth1_speed_rx
14.2.1.1,eth1_speed_rx_tooLow
14.2.1.2,eth1_speed_rx_tooHigh
14.2.2,eth1_speed_tx
14.2.2.1,eth1_speed_tx_tooLow
14.2.2.2,eth1_speed_tx_tooHigh
14.2.3,eth1_speed_valid
14.2.3.1,eth1_speed_valid_tooLow
14.2.3.2,eth1_speed_valid_tooHigh
15,fixture
15.1,fixture_close
15.1.1,fixture_close_tooLow
15.1.2,fixture_close_tooHigh
16,gen
16.1,gen_node
16.1.1,gen_node_tooLow
16.1.2,gen_node_tooHigh
17,i
17.524,i_tp524
17.524.10,i_tp524_vdd
17.524.1.1,i_tp524_vdd_3v3
17.524.1.1.1,i_tp524_vdd_3v3_openshort
17.524.1.1.1.1,i_tp524_vdd_3v3_openshort_tooLow
17.524.1.1.1.2,i_tp524_vdd_3v3_openshort_tooHigh
17.1,i_ubootidle
17.1.1,i_ubootidle_tooLow
17.1.2,i_ubootidle_tooHigh
17.2,i_wifi
17.2.1,i_wifi_tooLow
17.2.2,i_wifi_tooHigh
18,led
18.1,led_b
18.1.1,led_b_b
18.1.1.1,led_b_b_tooLow
18.1.1.2,led_b_b_tooHigh
18.1.2,led_b_g
18.1.2.1,led_b_g_tooLow
18.1.2.2,led_b_g_tooHigh
18.1.3,led_b_lum
18.1.3.1,led_b_lum_tooLow
18.1.3.2,led_b_lum_tooHigh
18.1.4,led_b_r
18.1.4.1,led_b_r_tooLow
18.1.4.2,led_b_r_tooHigh
18.1.5,led_b_x
18.1.5.1,led_b_x_tooLow
18.1.5.2,led_b_x_tooHigh
18.1.6,led_b_y
18.1.6.1,led_b_y_tooLow
18.1.6.2,led_b_y_tooHigh
18.2,led_g
18.2.1,led_g_b
18.2.1.1,led_g_b_tooLow
18.2.1.2,led_g_b_tooHigh
18.2.2,led_g_g
18.2.2.1,led_g_g_tooLow
18.2.2.2,led_g_g_tooHigh
18.2.3,led_g_lum
18.2.3.1,led_g_lum_tooLow
18.2.3.2,led_g_lum_tooHigh
18.2.4,led_g_r
18.2.4.1,led_g_r_tooLow
18.2.4.2,led_g_r_tooHigh
18.2.5,led_g_x
18.2.5.1,led_g_x_tooLow
18.2.5.2,led_g_x_tooHigh
18.2.6,led_g_y
18.2.6.1,led_g_y_tooLow
18.2.6.2,led_g_y_tooHigh
18.3,led_model
18.3.1,led_model_tooLow
18.3.2,led_model_tooHigh
18.4,led_off
18.4.1,led_off_b
18.4.1.1,led_off_b_tooLow
18.4.1.2,led_off_b_tooHigh
18.4.2,led_off_g
18.4.2.1,led_off_g_tooLow
18.4.2.2,led_off_g_tooHigh
18.4.3,led_off_lum
18.4.3.1,led_off_lum_tooLow
18.4.3.2,led_off_lum_tooHigh
18.4.4,led_off_r
18.4.4.1,led_off_r_tooLow
18.4.4.2,led_off_r_tooHigh
18.4.5,led_off_x
18.4.5.1,led_off_x_tooLow
18.4.5.2,led_off_x_tooHigh
18.4.6,led_off_y
18.4.6.1,led_off_y_tooLow
18.4.6.2,led_off_y_tooHigh
18.5,led_r
18.5.1,led_r_b
18.5.1.1,led_r_b_tooLow
18.5.1.2,led_r_b_tooHigh
18.5.2,led_r_g
18.5.2.1,led_r_g_tooLow
18.5.2.2,led_r_g_tooHigh
18.5.3,led_r_lum
18.5.3.1,led_r_lum_tooLow
18.5.3.2,led_r_lum_tooHigh
18.5.4,led_r_r
18.5.4.1,led_r_r_tooLow
18.5.4.2,led_r_r_tooHigh
18.5.5,led_r_x
18.5.5.1,led_r_x_tooLow
18.5.5.2,led_r_x_tooHigh
18.5.6,led_r_y
18.5.6.1,led_r_y_tooLow
18.5.6.2,led_r_y_tooHigh
18.6,led_w
18.6.1,led_w_b
18.6.1.1,led_w_b_tooLow
18.6.1.2,led_w_b_tooHigh
18.6.2,led_w_g
18.6.2.1,led_w_g_tooLow
18.6.2.2,led_w_g_tooHigh
18.6.3,led_w_lum
18.6.3.1,led_w_lum_tooLow
18.6.3.2,led_w_lum_tooHigh
18.6.4,led_w_r
18.6.4.1,led_w_r_tooLow
18.6.4.2,led_w_r_tooHigh
18.6.5,led_w_x
18.6.5.1,led_w_x_tooLow
18.6.5.2,led_w_x_tooHigh
18.6.6,led_w_y
18.6.6.1,led_w_y_tooLow
18.6.6.2,led_w_y_tooHigh
19,litepoint
19.1,litepoint_ok
19.1.1,litepoint_ok_tooLow
19.1.2,litepoint_ok_tooHigh
20,mac
20.1,mac_tooLow
20.2,mac_tooHigh
20.3,mac_ok
20.3.1,mac_ok_tooLow
20.3.2,mac_ok_tooHigh
21,mmc
21.1,mmc_model
21.1.1,mmc_model_tooLow
21.1.2,mmc_model_tooHigh
21.2,mmc_vendor
21.2.1,mmc_vendor_tooLow
21.2.2,mmc_vendor_tooHigh
22,nodeproperty
22.1,nodeproperty_board
22.1.1,nodeproperty_board_register
22.1.1.1,nodeproperty_board_register_value
22.1.1.1.1,nodeproperty_board_register_value_tooLow
22.1.1.1.2,nodeproperty_board_register_value_tooHigh
22.2,nodeproperty_mac
22.2.1,nodeproperty_mac_tooLow
22.2.2,nodeproperty_mac_tooHigh
22.3,nodeproperty_uboot
22.3.1,nodeproperty_uboot_version
22.3.1.1,nodeproperty_uboot_version_tooLow
22.3.1.2,nodeproperty_uboot_version_tooHigh
22.4,nodeproperty_unit
22.4.1,nodeproperty_unit_part
22.4.1.1,nodeproperty_unit_part_number
22.4.1.1.1,nodeproperty_unit_part_number_tooLow
22.4.1.1.2,nodeproperty_unit_part_number_tooHigh
23,phy
23.1,phy_model
23.1.1,phy_model_tooLow
23.1.2,phy_model_tooHigh
23.2,phy_status
23.2.1,phy_status_tooLow
23.2.2,phy_status_tooHigh
24,power
24.1,power_cycle
24.1.1,power_cycle_tooLow
24.1.2,power_cycle_tooHigh
25,qsdk
25.1,qsdk_version
25.1.1,qsdk_version_tooLow
25.1.2,qsdk_version_tooHigh
26,ram
26.1,ram_stress
26.1.1,ram_stress_tooLow
26.1.2,ram_stress_tooHigh
27,reboot
27.1,reboot_soft
27.1.1,reboot_soft_tooLow
27.1.2,reboot_soft_tooHigh
28,reduce
28.1,reduce_drive
28.1.1,reduce_drive_strength
28.1.1.1,reduce_drive_strength_tooLow
28.1.1.2,reduce_drive_strength_tooHigh
29,setenv
29.1,setenv_eth0
29.1.1,setenv_eth0_tooLow
29.1.2,setenv_eth0_tooHigh
29.2,setenv_eth1
29.2.1,setenv_eth1_tooLow
29.2.2,setenv_eth1_tooHigh
29.3,setenv_mac
29.3.1,setenv_mac_tooLow
29.3.2,setenv_mac_tooHigh
29.4,setenv_sn
29.4.1,setenv_sn_tooLow
29.4.2,setenv_sn_tooHigh
30,shop
